Id;MemberFirstName;MemberLastName;MemberPhoneNumber;MemberEmail;MemberAddress;Active
"1;Sally;Kreiger;(+98)79179807;Sally.Kreiger@gmail.com;11856 Kunze Keys, East Ebonyside, United Arab Emirates;FALSE"
"2;Chester;Pacocha;(+06)19207909;Chester.Pacocha@hotmail.com;470 Edgar Drive, East Laurence, French Guiana;TRUE"
"3;Guido;Dicki;(+66)04696490;Guido52@yahoo.com;08828 Kozey Causeway, Lake Ednamouth, Malawi;FALSE"
"4;Maegan;Padberg;(+04)71430850;Maegan.Padberg@yahoo.com;23289 Heaney Fall, North Deontaeview, Canada;FALSE"
"5;Wilfredo;Lebsack;(+39)18181337;Wilfredo_Lebsack87@gmail.com;02242 Winston Course, Lindseyfort, Iceland;TRUE"
"6;Eldon;Block;(+26)20319587;Eldon.Block@yahoo.com;32723 Mariam Mews, Sporermouth, Congo;FALSE"
"7;Anissa;Ullrich;(+11)07002950;Anissa96@yahoo.com;1041 Dasia Plain, Port Justusberg, Australia;FALSE"
"8;Deja;Haley;(+67)37912502;Deja_Haley36@yahoo.com;190 Dietrich Valleys, North Brodyside, Guatemala;TRUE"
"9;Taryn;Morar;(+53)88953836;Taryn80@hotmail.com;2172 Creola Manors, Lake Lillahaven, Austria;FALSE"
"10;Yasmin;Streich;(+19)24008909;Yasmin.Streich@yahoo.com;4015 Maryse Lane, Bernhardfurt, Cayman Islands;FALSE"
"11;Ellen;Terry;(+17)95481705;Ellen93@gmail.com;91835 Kautzer Inlet, West Shadfort, Tuvalu;FALSE"
"12;Jovan;Dooley;(+71)24599612;Jovan17@hotmail.com;0490 Dietrich Crescent, Zboncakfort, Netherlands Antilles;FALSE"
"13;Garth;Ernser;(+57)94696061;Garth.Ernser@yahoo.com;391 Retta Fields, Ornmouth, Sweden;TRUE"
"14;Shanie;Jacobi;(+11)68916296;Shanie.Jacobi38@hotmail.com;1419 Rosenbaum Island, Steubershire, Greenland;FALSE"
"15;Jettie;Torp;(+70)27915620;Jettie32@hotmail.com;7181 Fredy Crossroad, Adrielfurt, Suriname;FALSE"
"16;Ryan;Jakubowski;(+27)62790941;Ryan.Jakubowski68@yahoo.com;64969 Ritchie Street, New Camren, Vanuatu;FALSE"
"17;Fidel;Gerlach;(+22)62071506;Fidel_Gerlach@yahoo.com;4631 Scot Forest, Orlandfurt, Morocco;TRUE"
"18;Reagan;Hammes;(+58)49001155;Reagan47@hotmail.com;190 Sanford Heights, New Jeffryport, Martinique;FALSE"
"19;Kim;King;(+13)38921713;Kim_King@yahoo.com;25352 Katarina Spur, South Lenniemouth, Egypt;TRUE"
"20;Jackie;Nolan;(+92)13201403;Jackie.Nolan@yahoo.com;5195 Christy Knolls, Okunevafort, Mozambique;TRUE"
"21;Jeffery;Douglas;(+24)09090403;Jeffery_Douglas@gmail.com;031 Johnson Cliffs, North Floyfort, Switzerland;TRUE"
"22;Johnpaul;Bauch;(+87)61511643;Johnpaul65@gmail.com;70525 Lang Club, Port Gennarohaven, Egypt;TRUE"
"23;Cecil;Rau;(+96)41836463;Cecil_Rau@hotmail.com;3719 Braun Shoal, Hilperttown, Azerbaijan;FALSE"
"24;Ola;West;(+19)84768995;Ola9@gmail.com;423 Hellen Grove, North Joey, Philippines;TRUE"
"25;Helen;White;(+42)52452933;Helen68@gmail.com;1822 Theron Crest, Lake Delores, Cameroon;FALSE"
"26;Imani;Boyle;(+78)68419258;Imani36@gmail.com;530 Maddison Circles, Funkchester, Micronesia;FALSE"
"27;Nestor;Frami;(+96)06909878;Nestor.Frami97@hotmail.com;2842 Grimes Burg, North Camrynstad, United States Minor Outlying Islands;TRUE"
"28;Mohamed;Harris;(+89)26029473;Mohamed79@yahoo.com;9093 Noble Spurs, Lake Doug, Vietnam;FALSE"
"29;Mariano;Greenfelder;(+40)89102478;Mariano.Greenfelder47@gmail.com;4240 Swift Glen, Satterfieldfurt, Ethiopia;FALSE"
"30;Kyler;Walsh;(+70)97273535;Kyler30@gmail.com;49365 Streich Curve, Lake Elbertmouth, Nigeria;FALSE"
"31;Dawn;Grady;(+69)10599815;Dawn_Grady8@yahoo.com;805 Frida Tunnel, Coralieport, Togo;TRUE"
"32;Nikki;Koelpin;(+54)49272789;Nikki_Koelpin97@yahoo.com;481 Humberto Port, Lake Johnpaul, Faroe Islands;TRUE"
"33;Durward;Vandervort;(+30)25969717;Durward70@gmail.com;852 Weimann Unions, Ovafort, Qatar;FALSE"
"34;Madisen;Carroll;(+09)61639722;Madisen47@hotmail.com;388 Rey Loaf, Breitenbergton, Chad;FALSE"
"35;Chaya;Crist;(+41)56681307;Chaya_Crist@yahoo.com;054 Kulas Drive, Evelinemouth, Burundi;FALSE"
"36;Kelsi;Hermiston;(+23)79584395;Kelsi56@gmail.com;05304 Sanford Avenue, Janaetown, South Africa;TRUE"
"37;Velva;Pfannerstill;(+51)75746314;Velva_Pfannerstill@gmail.com;54897 Earnest Lodge, Daphneville, Guinea;FALSE"
"38;Lois;Lemke;(+99)06131118;Lois.Lemke@hotmail.com;879 Schamberger Road, Littlehaven, Christmas Island;TRUE"
"39;Brisa;Konopelski;(+67)84052413;Brisa_Konopelski21@hotmail.com;372 Alec Road, Carrollfort, Burundi;FALSE"
"40;Dock;Veum;(+22)26713637;Dock.Veum@yahoo.com;099 Delbert Trafficway, D'Amorefurt, Cape Verde;FALSE"
